20 50 5 20
70.5951 53.2426
64.5129 71.6497
55.231 17.9302
21.8109 33.6533
77.2366 18.7713
22.8028 32.1927
37.0865 40.3857
89.0929 54.8566
85.6377 4.8739
40.2434 55.2732
31.8019 27.4811
60.8635 24.1502
91.0195 24.3145
90.9098 15.4159
59.1594 95.6416
33.2571 93.5661
85.3064 81.8714
44.2398 72.8262
90.4355 17.5812
3.3179 36.0371
18.879 19.304 1
0.11984 34.1644 1
31.642 93.2898 1
69.9617 39.0668 1
62.5255 27.3217 1
54.3062 15.1947 1
43.9037 39.7109 1
28.7427 37.4722 1
50.1659 13.1115 1
76.1546 43.5041 1
76.2408 9.1513 1
57.6056 61.4627 1
74.7663 1.0979 1
64.5535 57.326 1
12.322 78.973 1
50.4398 23.5367 1
34.7261 44.802 1
9.2148 56.9358 1
14.7849 6.1401 1
19.817 49.6289 1
67.227 64.2315 1
43.1511 22.1266 1
69.4404 83.7056 1
25.6785 97.1075 1
0.97586 84.6373 1
53.2283 50.5999 1
27.9392 27.8876 1
94.623 74.6617 1
90.6443 23.693 1
39.2685 95.7345 1
2.4855 62.026 1
67.1437 60.0262 1
83.7171 17.2605 1
97.15 9.0347 1
5.6933 25.5262 1
45.0324 85.8571 1
58.247 91.1067 1
68.6638 69.9634 1
71.9433 72.5182 1
65.0041 22.9886 1
72.6915 57.6053 1
37.3848 81.0628 1
58.1582 40.3843 1
11.6119 98.8439 1
5.7654 8.9999 1
97.9765 32.0941 1
28.4824 51.1409 1
59.4974 6.0606 1
96.2161 72.5688 1
18.5778 55.6556 1
