50 100 10 15
88.3071 3.3789
12.1916 85.945
29.0255 52.8557
6.2342 97.5459
14.3533 87.7222
6.7965 16.1335
18.5087 35.3375
76.8677 5.8007
89.7677 44.4116
51.8272 44.1094
84.4632 32.6701
22.8757 91.4398
42.8373 49.4556
36.8291 71.0237
69.6048 66.4641
94.4381 83.1781
21.7886 25.8035
75.3004 76.9241
51.9839 41.0567
76.0075 5.5657
88.087 87.0649
23.7478 97.23
93.9694 11.6976
2.7152 50.8313
56.1514 75.5566
89.0452 10.9987
16.6991 3.3864
42.5243 44.1098
32.6896 12.9784
56.7591 97.1602
82.6987 94.0153
39.1682 93.312
62.1351 98.3758
96.5152 69.3036
82.8471 70.2475
81.3402 37.1312
95.5095 6.4106
18.312 44.3452
67.0428 54.2987
73.5596 54.0162
81.9551 78.6284
68.1018 60.1409
33.0059 94.7014
3.4692 63.1218
12.0189 87.8837
28.3713 12.2686
83.8236 81.3548
90.1353 97.7604
44.9947 23.1243
98.8536 91.2736
67.6368 11.0083 1
72.5066 34.3784 1
68.579 26.4065 1
79.6719 58.018 1
52.9627 43.5391 1
75.4639 41.51 1
50.3554 5.4213 1
90.704 25.9696 1
12.361 24.4178 1
85.2225 70.9095 1
17.5046 65.8851 1
76.4166 11.9181 1
45.9332 12.9219 1
60.6064 7.7969 1
36.404 73.524 1
40.1945 55.615 1
73.0075 83.4371 1
95.5128 10.6124 1
87.8799 25.6561 1
60.9732 5.4124 1
96.7766 65.6554 1
63.4138 27.7437 1
77.7265 70.913 1
89.8504 13.0296 1
22.6566 52.3997 1
10.1267 4.589 1
82.8259 10.1306 1
42.447 46.8935 1
72.7096 71.0646 1
93.6748 60.1346 1
29.6532 20.4917 1
31.22 61.8787 1
54.9696 69.915 1
55.2582 31.4829 1
64.04 80.4789 1
59.6649 17.8022 1
16.1175 24.1306 1
41.7908 59.473 1
36.9055 86.8233 1
8.0265 81.8668 1
23.6308 59.0084 1
99.434 0.22878 1
90.9304 94.4532 1
79.0787 79.2477 1
13.5146 39.9328 1
55.0339 87.3449 1
5.3838 67.4396 1
67.6553 24.2366 1
82.2281 16.8445 1
91.1402 86.1125 1
14.7205 32.6641 1
30.4862 32.5152 1
77.9872 40.0173 1
48.7228 76.3506 1
54.9174 16.4068 1
87.8217 68.829 1
98.8291 64.3317 1
1.9152 82.1354 1
35.1324 37.8547 1
53.4647 11.1901 1
74.7818 85.9483 1
97.0013 71.3183 1
69.5143 57.501 1
27.3268 74.1138 1
95.1138 75.3671 1
90.7671 55.5088 1
45.7425 80.0912 1
73.3171 67.0346 1
55.824 53.5107 1
99.3894 68.5926 1
38.93 95.5184 1
88.1683 62.7752 1
89.327 81.9132 1
38.6 18.8965 1
72.7551 75.1475 1
91.265 22.158 1
90.4127 41.645 1
8.1452 79.0874 1
3.3342 39.9962 1
57.2409 4.5109 1
0.92902 20.1045 1
19.8328 4.2863 1
2.068 63.9163 1
79.2271 25.1759 1
19.0829 41.9884 1
95.2083 17.1836 1
77.0226 88.4456 1
81.6574 34.1014 1
42.605 20.5124 1
30.0218 79.5387 1
68.029 2.447 1
85.8516 3.978 1
87.1793 52.9819 1
89.7062 93.3367 1
84.3587 60.2215 1
48.5151 60.1177 1
48.8541 64.3866 1
6.5334 92.1931 1
45.6981 21.9257 1
59.5555 88.4904 1
