20 50 5 20
55.9033 17.8117
85.41 35.9635
34.7879 5.6705
44.6027 52.1886
5.4239 33.5849
17.7108 17.5669
66.2808 20.8947
33.0829 90.5154
89.8486 67.5391
11.8155 46.8468
98.8418 91.2132
53.9982 10.4012
70.6917 74.5546
99.9492 73.6267
28.7849 56.1861
41.4523 18.4194
46.484 59.7211
76.3957 29.9937
81.8204 13.4123
10.0222 21.2602
89.4942 54.954 1
7.1453 48.5229 1
24.2487 89.0476 1
5.3754 79.896 1
44.1722 73.4341 1
1.3283 5.1332 1
89.7191 7.2885 1
19.6658 8.8527 1
9.3371 79.8351 1
30.7367 94.3008 1
45.6058 68.3716 1
10.1669 13.2083 1
99.539 72.2725 1
33.2093 11.0353 1
29.7347 11.7493 1
6.2045 64.0718 1
29.8244 32.8814 1
4.6351 65.3812 1
50.5428 74.9131 1
76.1426 58.3186 1
63.107 74.0032 1
8.9892 23.4827 1
8.0862 73.4958 1
77.7241 97.0599 1
90.5135 86.693 1
53.3772 8.6235 1
10.9154 36.6437 1
82.5809 36.9199 1
33.8098 68.5028 1
29.3973 59.7942 1
74.6313 78.9364 1
1.0337 36.7653 1
4.8447 20.6028 1
66.7916 8.6667 1
60.3468 77.1934 1
52.6102 20.5675 1
72.9709 38.8272 1
70.7253 55.1779 1
78.1377 22.8953 1
28.7977 64.1941 1
69.2532 48.448 1
55.667 15.1846 1
39.6521 78.1932 1
6.1591 10.0606 1
78.0176 29.4066 1
33.7584 23.7373 1
60.7866 53.0872 1
74.1254 9.1499 1
10.4813 40.5315 1
12.7888 10.4846 1
