20 50 5 20
52.936 83.8256
82.9982 58.4719
85.8759 94.8109
78.9029 6.1029
31.7833 58.4641
45.2207 28.5108
75.2228 82.7732
10.9862 19.0986
10.9742 44.253
26.9884 39.3412
52.4637 82.6574
97.2651 67.6871
71.0409 20.7603
31.186 31.8105
29.1457 13.3811
85.0357 67.1463
91.1647 57.0991
63.9276 16.9767
25.537 14.7656
8.8666 47.608
90.8102 93.4979 1
55.2175 47.9485 1
3.294 23.1792 1
5.3863 39.629 1
80.5063 70.5077 1
45.1375 55.8559 1
38.2646 75.6631 1
78.9644 99.5481 1
36.4287 96.2431 1
53.235 53.5067 1
71.1657 96.387 1
87.1477 11.5626 1
32.869 5.1448 1
65.0118 30.4349 1
97.4836 58.0192 1
7.5967 53.0964 1
58.7019 90.1208 1
41.3886 54.055 1
30.9136 43.1981 1
26.3834 54.2667 1
75.8766 71.2415 1
99.5216 1.6675 1
18.6571 80.0921 1
78.1145 14.2509 1
19.5798 47.8474 1
99.2359 25.6835 1
80.2262 36.9092 1
42.4227 66.1765 1
72.8864 16.9609 1
49.8354 27.8784 1
80.899 19.8222 1
35.6509 19.5072 1
7.3243 32.684 1
59.0991 88.0338 1
91.0188 47.1102 1
19.3766 40.3969 1
43.2368 17.9231 1
74.916 96.8925 1
3.9184 40.7456 1
94.6325 84.4487 1
76.3673 61.5325 1
55.8821 37.6611 1
18.3843 87.7182 1
49.7949 78.4852 1
51.7846 46.4954 1
99.4243 81.3977 1
85.4852 89.8444 1
96.2404 42.9239 1
67.8941 33.4329 1
40.3501 59.6647 1
