50 100 10 15
99.17 9.5281
67.8073 96.7821
42.8478 62.0111
65.4801 15.6003
58.8746 39.8367
74.5055 88.2505
64.087 53.9014
50.3676 54.3676
93.8041 44.2453
60.5344 18.3745
63.8924 24.9231
70.2657 28.5112
86.0949 52.951
37.9662 55.9837
71.2123 41.5146
52.352 90.568
36.3489 30.5143
43.4676 64.977
68.7598 28.8782
22.6851 25.5251
97.9004 35.8183
97.5671 80.5918
28.9514 53.8927
33.8433 59.0064
99.6445 23.1142
78.8971 10.1946
79.4922 64.4644
63.2369 98.0139
81.1451 10.1722
44.8093 18.7866
83.0614 0.93854
12.6663 83.8303
51.3268 48.1342
71.5931 46.853
24.8146 90.855
53.19 41.7147
38.221 54.4138
80.1761 69.9009
67.0861 7.905
98.2859 50.9416
93.6821 48.6898
57.6272 85.588
8.0186 61.4405
41.3825 11.7415
18.0845 60.6873
99.5631 16.418
52.0386 39.9026
88.5283 53.2357
64.8252 87.5211
46.6254 65.9039
78.7626 86.4513 1
12.6025 43.2546 1
52.4974 9.2809 1
89.948 13.7792 1
10.9084 24.1971 1
63.4571 22.3009 1
8.0846 86.774 1
41.1232 76.4177 1
71.2634 34.4714 1
10.0422 38.478 1
80.9947 59.4865 1
63.7809 53.5121 1
89.8069 33.3556 1
62.1821 85.4683 1
41.4607 26.5644 1
64.7558 93.394 1
48.9269 38.9834 1
9.3755 68.3065 1
63.7323 27.501 1
95.0262 2.7958 1
47.6376 94.0613 1
60.2805 53.397 1
59.1483 67.1173 1
22.5262 60.7535 1
66.8433 75.0873 1
15.6552 98.1322 1
77.4251 72.767 1
21.3053 85.7321 1
16.9124 99.1843 1
72.5753 75.946 1
25.6189 14.6041 1
16.2767 32.6305 1
62.5777 2.8786 1
25.0747 69.4551 1
26.2978 95.8757 1
84.3928 72.9047 1
39.7421 73.6754 1
10.4579 17.4611 1
19.3854 35.541 1
36.307 57.4649 1
87.4534 45.9945 1
59.977 83.3725 1
25.8113 81.5444 1
35.8428 32.3952 1
88.754 46.1684 1
90.0531 67.3959 1
44.7952 59.5226 1
26.8851 13.4387 1
55.3815 1.9492 1
17.8848 12.5108 1
85.9702 22.3276 1
23.1976 44.9137 1
16.8105 53.4532 1
2.6723 99.039 1
32.2431 71.7347 1
55.5165 98.0057 1
82.4529 5.3738 1
80.4248 63.6874 1
2.4408 96.0382 1
37.1506 26.9923 1
49.187 94.9407 1
46.6052 90.2234 1
4.1714 19.4648 1
61.7002 73.3952 1
57.8033 17.4861 1
29.8809 10.5141 1
43.5666 31.4113 1
13.6633 34.8766 1
29.9721 39.8962 1
76.1375 28.3917 1
3.5303 31.3912 1
26.95 71.828 1
99.6269 94.4647 1
44.6946 8.7789 1
15.2785 27.9534 1
88.6228 59.6159 1
3.138 82.8435 1
11.6035 78.2153 1
25.0855 55.7239 1
75.9675 3.6276 1
89.831 66.9372 1
22.342 84.8988 1
67.3299 6.5465 1
81.8786 36.0766 1
94.893 25.8051 1
87.4315 43.2597 1
39.3736 30.6071 1
93.6962 96.6589 1
43.6896 12.9933 1
16.2523 21.7436 1
30.9821 89.3394 1
68.1109 62.1706 1
93.4055 39.8162 1
94.7389 35.6089 1
59.9083 64.6573 1
94.8874 73.3091 1
40.4018 73.1701 1
4.1032 95.8176 1
29.3826 4.5954 1
3.1939 42.4361 1
