20 50 5 20
77.8802 25.479
42.3453 22.404
9.0823 66.7833
26.6471 84.4392
15.3657 34.4462
28.1005 78.052
44.0085 67.5332
52.7143 0.67153
45.7424 60.217
87.5372 38.6771
51.8052 91.5991
94.3623 0.11511
63.7709 46.2449
95.7694 42.4349
24.0707 46.0916
67.6122 77.016
28.9065 32.2472
67.1808 78.4739
69.514 47.1357
6.7993 3.5763
17.5874 54.4716 1
72.1758 64.7311 1
47.3486 54.3886 1
15.2721 72.1047 1
34.1125 52.2495 1
60.7389 99.3705 1
19.1745 21.8677 1
73.8427 10.5798 1
24.285 10.9697 1
91.7424 6.3591 1
26.9062 40.458 1
76.55 44.8373 1
18.8662 36.5816 1
28.7498 76.3505 1
9.1113 62.7896 1
57.6209 77.198 1
68.3363 93.2854 1
54.6593 97.2741 1
42.5729 19.2028 1
64.4443 13.8874 1
64.7618 69.6266 1
67.9017 9.382 1
63.5787 52.5404 1
94.5174 53.0344 1
20.8935 86.114 1
70.9282 48.4853 1
23.6231 39.3456 1
11.9396 67.1431 1
60.7304 74.1258 1
45.0138 52.0052 1
45.8725 34.7713 1
66.1945 14.9997 1
77.0286 58.6092 1
35.0218 26.2145 1
66.201 4.4454 1
41.6159 75.4933 1
84.1929 24.2785 1
83.2917 44.2402 1
25.6441 68.7796 1
61.3461 35.9228 1
58.2249 73.634 1
54.0739 39.4707 1
86.9941 68.3416 1
26.4779 70.4047 1
31.8074 44.2305 1
11.9215 1.9578 1
93.9829 33.0858 1
64.5552 42.4309 1
47.9463 27.027 1
63.9317 19.7054 1
