20 50 5 20
90.1991 0.86477
70.2066 72.708
37.7455 35.4116
73.4956 78.0446
95.4103 43.6657
54.2813 43.6555
54.0106 4.9213
31.111 4.9632
7.1235 9.11
18.198 59.4037
9.2989 24.1084
46.3489 84.1369
0.93325 85.7213
91.5026 96.3612
64.2742 48.89
0.14191 22.031
3.0385 22.6209
20.847 53.6788
45.4966 76.211
12.7266 34.7567
46.1232 95.079 1
63.9324 49.7577 1
91.7336 75.5146 1
16.1573 74.2405 1
71.5635 83.113 1
57.7739 15.6502 1
43.3299 45.7309 1
88.4243 61.81 1
39.3052 93.2183 1
17.8975 83.5088 1
63.3334 89.5424 1
62.4001 58.2519 1
32.7942 58.2747 1
80.2965 85.4926 1
99.9478 3.4866 1
98.0978 88.542 1
12.7037 40.7731 1
23.224 3.6382 1
2.3632 74.6148 1
60.7433 15.4829 1
11.0809 14.3908 1
40.746 60.5959 1
88.4077 25.4481 1
54.8133 32.4154 1
36.9003 40.1791 1
20.8346 40.6373 1
44.0943 38.6191 1
95.6196 60.9802 1
12.4026 16.6891 1
47.0763 18.8092 1
85.6896 9.4629 1
4.339 32.3186 1
69.1625 76.9597 1
97.8985 23.4118 1
28.3268 74.0365 1
13.378 69.2818 1
68.528 82.4078 1
90.9455 82.7978 1
61.0869 29.3368 1
89.9983 30.9369 1
19.3434 52.303 1
75.4425 32.5299 1
34.6261 83.1843 1
41.8625 81.0295 1
15.572 55.6998 1
81.9001 26.2964 1
62.4924 68.0566 1
73.856 23.3653 1
80.5112 45.6425 1
6.7223 38.4567 1
