50 100 10 15
40.2109 19.3622
93.4701 6.4149
36.0534 42.5374
94.7714 70.2147
3.0124 97.7321
44.1097 55.1583
70.0709 4.3807
70.2993 58.2149
51.0167 27.8376
61.2244 54.2194
74.6369 44.3321
80.1436 11.7205
33.6725 37.9941
56.4093 76.4833
85.5266 91.8368
58.9159 69.2699
50.8241 97.0624
85.3431 12.6165
68.3798 64.6414
10.6338 38.685
50.1957 56.2345
1.9167 19.8351
44.2609 39.3926
90.7175 34.0242
4.467 35.6478
94.5191 37.304
18.038 11.5364
36.9908 50.121
20.5239 81.6913
9.5586 34.3507
43.2741 49.8536
27.7561 11.8024
10.0858 57.5517
49.892 51.5464
23.9034 35.5277
34.9601 86.3349
55.8262 34.4015
54.8067 45.6881
42.1274 23.8089
38.55 77.1163
38.0664 27.3405
28.0728 52.5002
17.9912 53.1113
12.7284 87.3384
1.569 93.7613
75.3088 4.8717
50.4955 97.8845
72.211 63.2326
76.1101 7.2634
26.8949 21.1824
35.9887 67.8363 1
42.6681 51.5925 1
75.8145 97.8055 1
91.5751 26.7725 1
62.974 86.6911 1
95.5909 37.3755 1
75.5118 13.663 1
52.6111 8.2692 1
85.0111 73.8824 1
81.6031 37.2068 1
13.213 38.0516 1
76.0724 30.2174 1
61.7232 29.4525 1
39.7647 25.9814 1
84.1272 46.3475 1
3.832 98.7852 1
9.6206 38.5076 1
94.8102 94.3234 1
39.6016 16.7001 1
53.2262 92.5004 1
90.3642 75.4337 1
34.0035 85.6599 1
66.3896 60.2387 1
72.7361 10.7367 1
22.3014 45.5472 1
55.5454 65.459 1
45.5233 5.7533 1
61.0265 2.1263 1
54.399 28.9802 1
51.8356 93.1479 1
28.6048 51.4019 1
87.9016 87.5298 1
93.6543 37.81 1
80.6209 88.4512 1
96.9085 53.4774 1
52.4235 89.2603 1
11.2869 10.2763 1
65.0234 21.2046 1
19.0886 70.1606 1
85.6936 36.1351 1
94.2853 0.13957 1
10.3447 38.4308 1
29.6439 32.0143 1
79.9034 39.3345 1
44.1715 18.1251 1
49.2521 20.9377 1
2.9516 59.3725 1
57.2643 59.4466 1
57.2462 17.247 1
74.1691 93.3002 1
7.6606 5.6217 1
78.7166 20.1724 1
19.3495 50.8252 1
53.0928 75.9215 1
92.413 14.6052 1
98.6056 93.1073 1
97.5293 42.1948 1
30.4769 5.6499 1
75.3638 67.42 1
20.6355 27.9809 1
86.1381 78.0087 1
65.7844 96.2841 1
10.2206 68.8245 1
58.0465 49.8423 1
96.3488 9.9032 1
84.4873 28.7751 1
75.3107 53.8112 1
70.305 1.133 1
24.6624 28.2843 1
3.9941 58.9571 1
46.2113 17.2048 1
11.7374 17.0098 1
16.162 67.6343 1
41.9756 56.9594 1
66.6115 55.1671 1
97.3154 96.7441 1
27.965 62.8422 1
53.1393 32.455 1
93.0693 52.1016 1
16.6662 86.4937 1
78.925 99.4108 1
10.2965 83.8488 1
88.3623 34.7397 1
52.2238 74.941 1
97.4126 93.9413 1
75.6104 66.8082 1
72.257 48.1203 1
0.26012 28.6163 1
20.5614 59.5156 1
26.0369 33.6407 1
7.9955 95.9551 1
73.5328 44.2075 1
82.2651 96.1996 1
34.3391 67.6384 1
13.6138 70.6078 1
66.5889 95.7693 1
83.0441 93.9877 1
67.3621 83.3758 1
13.9459 15.5241 1
37.8827 83.0432 1
