50 
100 
245 1634
51 821
243 1642
169 1392
199 1507
255 1697
277 1791
143 1227
39 681
217 1551
203 1517
231 1557
83 1076
205 1560
103 1078
111 1109
299 1790
169 1448
205 1544
219 1589
111 1078
43 749
255 1804
167 1421
277 1752
233 1678
87 990
131 1256
253 1739
207 1468
199 1501
219 1622
305 1772
127 1237
181 1489
237 1550
303 1792
269 1871
277 1771
89 995
297 1826
205 1500
89 1063
185 1405
281 1891
105 1104
179 1396
233 1632
53 770
39 645
27 33 22 13 6 9 5 9 11 25 22 20 30 7 14 5 5 10 29 7 19 29 25 22 24 18 25 18 16 19 25 15 26 8 29 9 26 20 20 17 23 27 14 33 11 25 28 25 15 19 10 7 32 23 32 20 30 28 23 26 18 22 6 26 22 16 7 19 18 10 30 21 25 28 26 15 14 26 12 13 30 12 20 9 19 15 26 9 11 29 9 12 15 20 16 8 5 29 16 16 
7 0 2 6 2 1 3 8 9 0 8 8 8 6 5 0 4 3 4 8 6 2 7 4 8 3 11 7 7 3 5 0 6 8 5 6 1 6 2 4 5 6 8 5 1 4 1 1 4 7 4 8 7 6 6 5 4 1 6 7 4 7 0 5 7 7 9 5 4 6 7 8 4 5 4 11 5 4 0 2 9 0 4 7 8 5 9 2 0 4 8 7 7 6 7 1 4 5 2 8 
55 72 49 28 16 23 15 20 26 57 46 44 66 14 28 16 14 24 64 19 40 62 56 44 53 40 57 37 34 41 50 36 55 21 66 20 57 41 42 34 54 58 29 74 27 56 61 55 36 39 21 16 67 54 66 42 62 61 50 57 40 44 18 54 50 35 18 45 38 20 61 44 53 62 58 36 29 53 29 30 63 29 42 20 39 35 57 23 29 61 20 26 32 44 33 20 12 59 35 38 
4 3 2 2 1 4 4 5 7 4 4 6 7 2 2 4 3 1 5 6 4 3 7 1 7 1 9 4 4 3 2 3 5 7 7 3 3 3 0 1 7 6 4 7 3 5 3 3 5 4 0 5 3 8 2 1 2 3 5 6 4 3 3 1 7 5 6 6 2 3 4 5 4 6 5 9 3 1 3 3 6 3 1 5 4 6 7 3 4 0 5 5 4 5 3 3 1 1 1 7 
2 7 6 2 5 7 6 2 4 8 0 4 6 1 1 7 5 5 7 5 2 6 7 1 6 5 7 0 3 4 1 7 4 5 9 3 6 2 3 1 9 5 0 9 6 7 6 6 7 0 2 1 2 9 2 2 3 6 5 5 5 0 7 3 7 3 4 8 4 1 1 2 5 7 7 6 2 3 6 6 3 6 3 3 0 7 5 6 8 4 2 2 2 5 1 6 3 2 5 6 
5 1 2 6 2 0 2 7 8 2 7 6 6 5 3 1 2 3 2 6 5 1 6 3 7 3 9 5 5 2 3 1 4 7 5 4 0 5 0 3 4 5 6 4 0 3 0 0 3 6 3 7 6 5 5 5 3 0 4 6 2 6 2 4 6 5 7 4 2 5 5 6 3 4 3 9 4 3 0 0 7 0 3 5 7 3 7 0 2 3 7 5 5 5 6 0 2 4 2 6 
7 4 6 9 5 2 2 8 8 5 9 6 5 8 5 1 3 6 1 5 5 2 4 5 6 6 9 7 6 3 5 4 4 6 1 5 3 6 4 4 0 4 8 1 3 1 4 2 1 8 6 9 9 2 8 8 5 1 4 5 2 8 4 8 4 5 7 0 4 7 7 7 3 1 1 9 5 6 1 3 8 0 5 6 9 1 7 2 4 7 8 6 6 4 8 0 5 7 5 5 
3 6 7 7 5 4 2 4 4 7 6 1 2 5 2 5 2 6 3 1 1 3 1 2 2 6 5 4 2 2 2 6 1 2 3 2 4 3 3 2 4 0 5 4 4 2 5 4 2 6 5 6 7 3 6 6 3 3 0 1 1 5 7 6 2 1 3 3 3 4 3 3 1 2 2 4 2 4 4 4 4 3 4 2 5 1 3 4 7 6 4 2 2 0 6 2 3 5 5 2 
32 36 23 16 7 13 10 15 19 28 27 27 38 10 17 9 9 10 34 14 24 33 33 24 32 18 35 22 21 22 27 18 31 16 37 13 29 24 20 19 30 33 19 40 14 31 31 28 21 23 10 12 35 31 34 22 32 31 29 33 23 26 9 27 30 22 14 26 21 13 35 27 29 35 31 24 18 28 15 16 37 15 22 14 24 21 34 13 14 29 15 17 20 26 19 12 7 31 17 24 
88 99 67 45 20 29 19 35 43 75 74 68 98 27 47 16 19 32 91 29 64 90 83 70 81 57 86 61 55 61 80 45 84 33 93 33 80 66 62 55 74 88 50 105 35 80 85 77 50 64 33 29 103 76 102 65 94 85 75 86 59 73 18 83 74 55 30 62 58 36 97 71 80 90 82 56 48 82 37 41 99 37 64 34 65 50 87 29 33 90 35 43 52 67 55 26 19 92 50 56 
