20  60  600
692  3786
989  3647
459  2494
670  3610
1292  3998
795  3572
1168  3941
578  3535
389  2249
1000  3298
1546  5741
1022  4152
492  2465
600  2868
1092  4888
378  2790
979  3907
778  3058
1070  3850
832  3288
521  2396
513  2448
159  1391
38  715
372  2089
372  2120
315  1998
53  796
421  2225
191  1567
202  1505
294  1811
219  1539
556  2381
127  1172
414  2121
552  2441
145  1414
63  815
319  1942
290  1857
496  2331
226  1541
191  1493
333  1898
63  862
414  2225
421  2103
524  2436
365  2121
166  1374
67  911
248  1685
513  2492
446  2199
435  2209
287  1812
255  1670
297  1948
248  1679
116  1163
127  1272
386  2085
560  2596
531  2311
92  1008
489  2406
70  950
354  2074
340  1876
148  1343
177  1457
428  2202
124  1155
251  1671
272  1833
375  2101
49  832
375  2083
499  2354
33  14  10  13  16  33  31  16  24  27  19  27  20  12  27  32  22  20  32  10  31  29  21  23  7  15  18  12  34  8  31  24  16  34  20  15  20  22  32  35  34  17  26  7  31  15  23  35  33  13  12  26  29  28  15  21  16  6  7  17  11  28  9  29  8  14  9  6  7  15  30  27  14  30  11  34  20  11  14  35  14  24  8  22  27  18  6  31  28  17  30  23  25  26  23  12  18  34  5  11  6  31  15  34  30  34  21  7  13  18  14  30  7  10  33  30  28  28  6  15  30  34  13  19  29  15  30  35  21  24  8  10  26  16  25  8  19  32  13  32  20  19  24  24  11  32  12  7  16  17  22  33  35  23  9  7  26  35  15  5  18  15  20  29  28  35  26  23  11  10  12  8  31  19  35  17  30  32  27  20  21  33  13  24  25  19  16  5  28  28  9  20  10  17  20  15  13  25  8  33  30  23  16  12  19  17  30  13  29  24  14  24  21  22  24  17  8  33  33  19  26  18  33  21  22  19  22  29  31  34  8  23  8  11  29  8  29  34  9  18  35  31  35  27  8  16  26  13  21  25  35  7  29  27  7  12  18  16  14  23  17  18  23  8  24  14  29  12  28  26  23  5  9  25  33  17  17  11  11  14  6  26  34  7  25  33  25  32  19  13  20  26  13  11  9  8  5  20  28  21  25  33  23  10  32  12  19  35  34  26  22  22  22  11  13  12  13  15  13  24  12  25  35  24  10  17  5  9  24  26  14  21  13  26  8  10  29  12  8  11  26  11  29  11  7  28  24  29  7  32  13  26  15  11  34  17  15  27  35  29  33  35  9  13  26  32  30  15  14  22  22  15  6  34  23  14  17  10  32  22  33  14  27  17  7  34  20  21  11  29  25  30  8  34  10  14  20  8  5  33  30  13  22  12  26  31  15  7  11  21  34  32  6  10  10  7  31  10  7  11  31  33  10  31  16  12  20  30  21  31  28  10  23  31  7  13  30  27  6  28  8  10  34  24  8  28  34  5  31  19  12  35  23  14  18  25  29  33  11  15  12  13  22  21  29  35  13  14  6  5  16  21  26  30  10  10  7  11  6  23  11  24  27  7  11  30  31  33  16  11  28  8  15  16  29  16  21  25  15  29  14  8  25  26  17  17  7  20  20  15  6  12  5  31  13  9  32  10  25  21  33  28  24  29  34  34  15  9  29  11  30  24  5  5  32  22  21  7  13  5  10  31  13  16  9  21  34  16  13  31  25  11  15  17  20  23  27  20  31  11  19  8  12  17  34  26  26  18  15  17  20  28  18  11  23  18  20  15  33  22  12  8  13  30  13  13  11  14  23  16  22  8  16  12  14  6  14  28  15  28  
1.08192 6.07463 3.68725 5.65657 1.59248 3.39045 3.97691 5.01058 7.20406 2.12024 0.954961 2.71549 5.21142 2.40924 3.96182 3.88008 2.28996 2.17566 6.48865 5.93903 2.14874 4.48834 5.33832 7.96496 5.94534 4.42238 8.00406 3.0897 6.6006 6.31928 5.06 2.80426 2.52819 6.08373 7.44156 2.896 2.16608 3.07245 4.1957 1.61638 5.13686 7.10195 2.55565 5.17696 5.67814 3.85431 2.49137 7.71584 4.42131 5.1598 2.8177 5.87487 4.3637 6.89555 5.25348 4.08312 1.17337 6.94379 4.37112 3.98407 
3.45122 5.62498 2.54506 1.90671 4.14866 5.79072 0.48431 7.76128 6.56097 4.73183 4.86899 5.95247 2.2708 3.45841 8.35114 3.64439 2.3584 2.97412 5.8318 4.72077 5.5615 2.60978 4.31214 3.85772 5.25687 8.88354 8.77126 7.38788 2.60844 3.76786 5.90732 1.97934 3.91112 1.7906 7.0391 3.90897 6.22011 4.57362 3.37948 4.93108 7.12537 6.34456 5.4036 0.755478 1.64158 4.72432 5.15259 8.67083 3.99817 0.792127 2.9805 2.96993 5.99567 6.62628 1.64099 4.73662 3.39715 2.76632 8.44222 8.36559 
3.40396 6.21195 2.03168 2.48265 3.92827 6.14294 0.761337 8.12228 7.16595 4.44958 4.75137 5.67328 1.65957 3.79599 8.40895 3.11993 2.56379 3.25318 6.43095 5.32971 5.77964 3.20229 4.90636 4.26629 5.85041 8.86143 9.3236 7.47918 3.09676 4.38858 6.41343 2.28306 3.55904 2.19646 7.63833 4.30477 6.0602 4.96492 3.92765 4.724 7.55683 6.95204 5.68719 1.15911 1.27944 5.18873 5.44603 9.20993 4.54359 0.757988 2.6024 3.58769 6.43472 7.21617 2.24693 5.22175 3.33319 3.18122 8.60452 8.42751 
